Descrição produto;Preço;Código de barras;
VINHO CHILENO CABERNET EXPLORADOR 750ml;RR$ 42,40;07808725408841;
BATATA PALHA EXTRAFINA YOKI 100G;RR$ 12,50;7891095031122;
BOLO CHOCOLATE SANTA EDWIGES 250G;RR$ 7,20;7896064203562;
MOLHO DE TOMATE TRADICIONAL PREDILECTA SACHÊ 300G;RR$ 3,70;7896292333000;
SHAMPOO PANTENE COLAGENO 175ml;RR$ 16,90;7500435196970;
ARROZ INTEGRAL PARBOILIZADO LONGO FINO URBANO 1KG;RR$ 9,90;7896038308057;
DESODORANTE NIVEA MEN ORIGINAL PROTECT 150 ML;RR$ 17,90;4005900396938;
DESODORANTE AEROSSOL NIVEA PEARL & BEAUTY 150ML;RR$ 18,80;4005808837311;
DESINFETANTE ORIGINAL PINHO SOL FRASCO 1L;RR$ 15,20;7891024194607;
PRESUNTO SEARA FATIADO 180G;RR$ 10,80;7894904268511;
SUCO GOIABA MARATÁ CAIXA 1L;RR$ 7,50;7898378180041;
SORVETE FLOCOS NEVAL POTE 1L;RR$ 19,90;7896549401117;
SORVETE MORANGO NEVAL POTE 1L;RR$ 19,90;7896549400011;
SORVETE CHOCOLATE NEVAL POTE 1L;RR$ 19,90;7896549401018;
SORVETE NAPOLITANO NEVAL POTE 1L;RR$ 19,90;7896549401599;
SORVETE NAPOLITANO CLASSICOS NEVAL POTE 2L;RR$ 34,90;7896549400028;
SORVETE SENSAÇÃO ESPECIAIS NEVAL POTE 2L;RR$ 36,90;7896549400066;
SORVETE BIG SUNDAE MORANGO NEVAL POTE 2L;RR$ 34,90;7896549400080;
SORVETE BIG SUNDAE MORANGO NEVAL 2L;RR$ 34,90;789654900097;
SORVETE PALIFRUTY MORANGO NEVAL;RR$ 4,80;7896549406044;
SORVETE SKIMO NEVAL 50G;RR$ 7,70;7896549402084;
SORVETE SUNDAE MORANGO NEVAL;RR$ 9,90;7896549404002;
SORVETE NAPOLITANO NEVAL COPO 95G;RR$ 9,90;7896549404101;
SORVETE MAXIMUM PETIT GATEAU NEVAL;RR$ 12,80;7896549408062;
SORVETE IOGURTE COM AMORA NEVAL POTE 1L;RR$ 19,90;7896549401650;
SORVETE FLOCOS CLASSICOS NEVAL POTE 2L;RR$ 34,90;7896549400073;
SORVETE BRIGADEIRO ESPECIAL NEVAL 80G;RR$ 10,80;7896549405177;
SORVETE KROC BRIGADEIRO NEVAL;RR$ 10,80;7896549403302;
SORVETE CHOCODUO ESPECIAL NEVAL 65G;RR$ 10,70;7896549405153;
VINHO CHILENO CHARDONNAY COSECHA TARAPACA  750ML;RR$ 42,40;7804340100054;
VINHO CHILENO SAUVIGNON BLANC TARAPACÁ COSECHA 750ML;RR$ 42,40;7804340808028;
VINHO CHILENO MERLOT EXPLORADOR 750ml;RR$ 42,40;7808725408858;
KETCHUP HEINZ 397G FRASCO;RR$ 19,90;7896102503708;
